Model,CV Accuracy,CV ROC-AUC,Test Accuracy,Test Precision,Test Recall,Test Specificity,Test F1-Score,Test ROC-AUC
AdaBoost,0.7639 ± 0.0100,0.8265 ± 0.0198,0.7532,0.6905,0.537,0.87,0.6042,0.8262
Gradient Boosting,0.7459 ± 0.0098,0.8123 ± 0.0151,0.7468,0.6744,0.537,0.86,0.5979,0.8185
Weighted Soft Voting Ensemble (Proposed),0.7703 ± 0.0065,0.8402 ± 0.0150,0.7338,0.6444,0.537,0.84,0.5859,0.817
Random Forest,0.7704 ± 0.0173,0.8309 ± 0.0189,0.7403,0.675,0.5,0.87,0.5745,0.8169
Stacking Classifier,0.7769 ± 0.0121,0.8473 ± 0.0096,0.7208,0.6222,0.5185,0.83,0.5657,0.8135
Support Vector Machine,0.7834 ± 0.0112,0.8370 ± 0.0168,0.7338,0.6444,0.537,0.84,0.5859,0.8096
Logistic Regression,0.7834 ± 0.0125,0.8496 ± 0.0054,0.7143,0.6087,0.5185,0.82,0.56,0.8085
Naive Bayes,0.7703 ± 0.0065,0.8400 ± 0.0086,0.7078,0.5789,0.6111,0.76,0.5946,0.7935
Decision Tree,0.7182 ± 0.0218,0.7534 ± 0.0352,0.7662,0.6452,0.7407,0.78,0.6897,0.7932
K-Nearest Neighbors,0.7540 ± 0.0293,0.8040 ± 0.0186,0.7532,0.6667,0.5926,0.84,0.6275,0.7904
